10135,1.2.0.0/16,"(10135, 6939, 52025, 42, 10886, 27)"
10135,1.2.3.0/24,"(10135, 6939, 4826, 198949, 396450, 2152, 25)"
10137,1.2.0.0/16,"(10137, 46031, 35280, 7545, 20473, 52025, 42, 10886, 27)"
10137,1.2.3.0/24,"(10137, 46031, 24482, 45430, 13335, 15830, 198949, 396450, 2152, 25)"
10139,1.2.0.0/16,"(10139, 9299, 58115, 42, 10886, 27)"
10139,1.2.3.0/24,"(10139, 9299, 4637, 198949, 396450, 2152, 25)"
1014,1.2.0.0/16,"(1014, 137409, 8529, 9009, 60068, 52025, 42, 10886, 27)"
1014,1.2.3.0/24,"(1014, 137409, 8529, 42156, 198949, 396450, 2152, 25)"
10141,1.2.0.0/16,"(10141, 9299, 58115, 42, 10886, 27)"
10141,1.2.3.0/24,"(10141, 9299, 4637, 198949, 396450, 2152, 25)"
10143,1.2.0.0/16,"(10143, 38195, 15830, 20473, 52025, 42, 10886, 27)"
10143,1.2.3.0/24,"(10143, 38195, 15830, 198949, 396450, 2152, 25)"
10145,1.2.0.0/16,"(10145, 38220, 6939, 52025, 42, 10886, 27)"
10145,1.2.3.0/24,"(10145, 38220, 4826, 198949, 396450, 2152, 25)"
10146,1.2.0.0/16,"(10146, 4637, 20473, 52025, 42, 10886, 27)"
10146,1.2.3.0/24,"(10146, 4637, 198949, 396450, 2152, 25)"
10148,1.2.0.0/16,"(10148, 7575, 42, 10886, 27)"
10148,1.2.3.0/24,"(10148, 7575, 2152, 25)"
1015,1.2.0.0/16,"(1015, 30456, 25369, 52025, 42, 10886, 27)"
1015,1.2.3.0/24,"(1015, 30456, 25369, 52025, 852, 19835, 812, 198949, 396450, 2152, 25)"
